prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components,url
VERSIONLESS001,precipitation,ready,ready,,precip_pchem_pflux__ms004,"build own report, not data itself",loch_vale_ppt,https://nadp.slh.wisc.edu/sites/ntn-co98/
VERSIONLESS002,precip_chem,ready,ready,,precip_pchem_pflux__ms004,"build own report, not data itself",loch_vale_pchem,https://nadp.slh.wisc.edu/sites/ntn-co98/
VERSIONLESS003,discharge,ready,ready,,discharge__ms001,,loch_vale_discharge_andrews_creek,https://waterdata.usgs.gov/co/nwis/dv?referred_module=sw&site_no=401723105400000
VERSIONLESS004,discharge,ready,ready,,discharge__ms001,,loch_vale_discharge_icy_brook,https://waterdata.usgs.gov/co/nwis/dv?referred_module=sw&site_no=401707105395000
VERSIONLESS005,discharge,ready,ready,,discharge__ms001,,loch_vale_discharge_loch_outlet,https://waterdata.usgs.gov/co/nwis/uv/?site_no=401733105392404
VERSIONLESS006,stream_chemistry,ready,ready,,stream_chemistry__ms002,,loch_vale_chem_andrews_creek,https://nwis.waterdata.usgs.gov/co/nwis/qwdata/?site_no=401723105400000&agency_cd=USGS&inventory_output=0&rdb_inventory_output=file&TZoutput=0&pm_cd_compare=Greater%20than&radio_parm_cds=all_parm_cds&format=html_table&qw_attributes=0&qw_sample_wide=wide&rdb_qw_attributes=0&date_format=YYYY-MM-DD&rdb_compression=file&submitted_form=brief_list
VERSIONLESS007,stream_chemistry,ready,ready,,stream_chemistry__ms002,,loch_vale_chem_icy_brook,https://nwis.waterdata.usgs.gov/co/nwis/qwdata/?site_no=401707105395000&agency_cd=USGS&inventory_output=0&rdb_inventory_output=file&TZoutput=0&pm_cd_compare=Greater%20than&radio_parm_cds=all_parm_cds&format=html_table&qw_attributes=0&qw_sample_wide=wide&rdb_qw_attributes=0&date_format=YYYY-MM-DD&rdb_compression=file&submitted_form=brief_list
VERSIONLESS008,stream_chemistry,ready,ready,,stream_chemistry__ms002,,loch_vale_chem_loch_outlet,https://nwis.waterdata.usgs.gov/co/nwis/qwdata/?site_no=401733105392404&agency_cd=USGS&inventory_output=0&rdb_inventory_output=file&TZoutput=0&pm_cd_compare=Greater%20than&radio_parm_cds=all_parm_cds&format=html_table&qw_attributes=0&qw_sample_wide=wide&rdb_qw_attributes=0&date_format=YYYY-MM-DD&rdb_compression=file&submitted_form=brief_list
ms001,discharge,,,ready,stream_flux_inst__ms003,,,
ms002,stream_chemistry,,,ready,stream_flux_inst__ms003,,,
ms003,stream_flux_inst,,,ready,,,,
ms004,precip_pchem_pflux,,,ready,,,,
ms005,precip_gauge_locations,,,ready,precip_pchem_pflux__ms004,,,
ms006,stream_gauge_locations,,,ready,,,,
